scenario,year,total,japanese,foreign,male,female,under15,working_age_15_64,age65plus,foreign_share,age65plus_share
both_inflows_zero,2078,1816805.9487099329,1787609.1636226662,29196.78508726671,712785.7091005496,1104020.2396093833,63320.68629511445,448048.70799328305,1305436.5544215355,0.016070392717504364,0.7185338397578962
both_inflows_zero,2079,1710322.7943596588,1683715.2673886693,26607.52697098974,668187.0793132514,1042135.7150464075,59084.02944580636,424641.24202817795,1226597.5228856746,0.01555702061548653,0.7171731131285718
both_inflows_zero,2080,1608563.7039780335,1584421.2551749079,24142.448803125655,625869.5096723058,982694.1943057277,55152.25748887674,401638.1961684752,1151773.2503206814,0.015008699216214158,0.7160258853735829
both_inflows_zero,2081,1511469.1173156877,1489664.1616130725,21804.955702615356,585785.9090474145,925683.2082682734,51520.44758393233,379031.2070441544,1080917.462687601,0.014426332270248523,0.7151435979104025
both_inflows_zero,2082,1418968.8281300005,1399370.920159521,19597.90797047937,547885.5492789855,871083.2788510151,48180.73665155734,357944.4907776689,1012843.6007007745,0.01381137314785599,0.7137884783808525
both_inflows_zero,2083,1331198.5137241504,1313683.3976936692,17515.116030481175,512138.20882265584,819060.3049014945,45109.86196537449,337358.18246935896,948730.469289417,0.013157403535165485,0.7126889487243012
both_inflows_zero,2084,1247770.7030584197,1232202.9919050112,15567.711153408656,478448.81304474495,769321.8900136749,42288.866489360786,317273.982127239,888207.85444182,0.012476419838397012,0.7118357982478088
both_inflows_zero,2085,1168631.412867545,1154874.0784833687,13757.334384175978,446764.85629450466,721866.5565730404,39699.01788957346,297693.8669659937,831238.5280119779,0.011772175754217264,0.7112923021402576
both_inflows_zero,2086,1093713.4653228181,1081628.9825425677,12084.482780250342,417029.94266506995,676683.522657748,37321.86618554799,278618.73501054995,777772.86412672,0.011049039043039954,0.7111303726128618
both_inflows_zero,2087,1022939.1194364033,1012390.645170714,10548.47426568926,389184.63148650696,633754.4879498963,35139.27089255594,262114.2183649337,725685.6301789136,0.010311927724008666,0.7094123358765828
both_inflows_zero,2088,956358.9018036181,947220.3197453262,9138.582058292039,363181.09470315534,593177.8071004628,33132.65826141817,246313.661253992,676912.582288208,0.00955559888767427,0.7078018315212038
both_inflows_zero,2089,893703.7924222694,885840.5865983216,7863.20582394765,338931.3592388563,554772.4331834131,31280.794728657816,231204.2367137932,631218.7609798183,0.008798447416940506,0.7062952695646294
both_inflows_zero,2090,834888.1139687267,828170.1471200355,6717.966848691149,316371.02739071404,518517.0865780126,29565.016581013515,216772.25848649742,588550.8389012157,0.008046547478986857,0.7049457634550319
